Age_Months,Weight_kg
6,114.5
6.5,129.8
7,125
7.5,128.875
8,144.2857
8.5,146.087
9,145.8276
9.5,160.3929
10,165.3333
10.5,168.5714
11,172.1525
11.5,185.2833
12,188.8
12.5,196.8793
13,202.2113
13.5,206.137
14,209.0964
14.5,220.0152
15,225.2125
15.5,232.4211
16,239.8429
16.5,240.9385
17,247.9552
17.5,253
18,256.898
18.5,259.9487
19,263.8472
19.5,258.7308
20,278.64
20.5,260.2941
21,261.6429
21.5,284.0714
22,288.5333
22.5,278
23,300.375
23.5,314.5
24,268.6
24.5,311.6
25,284.1667
25.5,282
26,249
19,276.1
15.2,332.4
19.9,143.2
25.1,255.4
14.6,185.9
14.6,195.3
25.5,189.3
20.6,173.7
13.2,225.9
19.2,175.6
13.2,238.6
13.2,220.3
17.4,209.5
4.5,171.2
5.7,190.2
12.6,266.4
9.9,251.8
17.9,167.2
10.6,228.8
7.5,266.1
24.8,127.7
14.6,254.2
16.4,185.3
7.5,255.8
12.7,179.5
16.7,119.9
9.1,130.1
18.3,225.9
12.4,238
14.3,171.4
12.4,259.7
27.1,128.1
15.9,219.4
9.7,153.9
20.9,185.9
8.7,225.9
17.3,173.9
4.3,201.2
8,280.7
17.2,190.2
20.4,271
17,158.5
15.3,253.5
14.2,305.6
7.1,81.8
11.7,177.6
13.2,256.2
22.3,211.5
18.1,244.4
5.4,188.6
17.9,228.1
13.7,214.3
11.9,290
19.7,237.7
22.2,242.5
21.6,199.6
11,195.3
14.1,198.4
18,245.7
21.8,199.1
13.1,239.7
14.9,341.9
9.4,273
8.8,204.5
20.9,291.9
24.1,199.8
15.6,106.6
22,165.5
18.2,116.1
12.1,203.1
18.2,224.2
25.2,319
15.8,241.9
25.4,210.6
0.3,270.6
20.9,96.7
16.5,236.6
14.2,267.3
16.5,138.6
4.1,288.6
14.7,242.5
18.1,199.4
24.9,259.4
12.9,353
11.2,233.6
13,237.4
21.5,196.9
18,174.5
12.8,270.7
19.1,174.2
16.6,227.3
21.8,195.8
11.8,250.6
14,242.2
13.7,282.5
7.2,194
17.8,207.7
17.6,167.2
16,197.7
14.6,244.7
7.5,266.5
13.5,170.4
13.9,272.9
11.2,300.7
15,246.8
18.4,330.5
27.3,178.9
17,152
17.5,121.4
15.6,308.7
4.5,260.6
15.8,220
16.4,239.2
30.8,158.8
14.8,363.1
17.8,230.5
15.8,229.4
9,264.7
22.8,250.7
20.5,236
20.7,177.9
10.6,250.1
24.4,330.8
7.6,300.1
19.5,314.3
29.1,193.9
10.1,166.6
12.6,216
16.6,226.3
13,285.7
6.7,126.3
16.4,310.6
9.6,214.1
18.8,198.7
10.5,165.3
25.3,128.5
11.3,270.2
14.1,227.4
20.9,149.4
8.6,149.1
17.4,204
23.8,318.6
6.4,208.3
17.1,137.2
17.6,209.1
20.7,207.6
8.6,68.9
8.1,220.1
19.1,209.9
17.8,263
